liczba_przypadkow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;data_raportu;stan_rekordu_na;wojewodztwo
11008;400;122;278;14050;13359;170928;46724;12152;33485;1087;t00;20210101;NA;cały kraj
647;36;19;17;746;599;10738;4245;725;3436;84;t02;20210101;NA;Dolnośląskie
967;27;2;25;1393;1228;15336;3201;1111;1999;91;t04;20210101;NA;Kujawsko-pomorskie
388;21;13;8;634;627;7625;1718;424;1275;19;t06;20210101;NA;Lubelskie
343;17;15;2;384;408;5376;1308;371;912;25;t08;20210101;NA;Lubuskie
704;25;3;22;1006;968;11262;2842;770;2005;67;t10;20210101;NA;Łódzkie
388;22;17;5;605;514;6238;2237;425;1762;50;t12;20210101;NA;Małopolskie
1453;52;12;40;2267;1859;26130;6372;1594;4584;194;t14;20210101;NA;Mazowieckie
179;15;3;12;229;225;3710;872;197;661;14;t16;20210101;NA;Opolskie
261;36;11;25;285;277;4200;1690;337;1323;30;t18;20210101;NA;Podkarpackie
307;10;4;6;402;380;4244;1227;321;889;17;t20;20210101;NA;Podlaskie
1027;24;4;20;1316;1103;15458;4051;1143;2772;136;t22;20210101;NA;Pomorskie
885;30;2;28;1100;1226;13644;3814;958;2776;80;t24;20210101;NA;Śląskie
192;8;3;5;167;213;2503;1302;268;997;37;t26;20210101;NA;Świętokrzyskie
825;11;1;10;952;1006;11403;2365;861;1453;51;t28;20210101;NA;Warmińsko-mazurskie
1249;48;12;36;1493;1429;18830;3914;1336;2502;76;t30;20210101;NA;Wielkopolskie
951;18;1;17;1065;1126;14209;2543;1014;1454;75;t32;20210101;NA;Zachodniopomorskie
6945;102;18;84;441;11784;154006;27604;7722;19196;686;t00;20210102;NA;cały kraj
344;10;1;9;14;665;9500;1436;377;1034;25;t02;20210102;NA;Dolnośląskie
471;17;2;15;126;1199;14028;1586;605;949;32;t04;20210102;NA;Kujawsko-pomorskie
280;4;1;3;19;533;6868;1185;315;859;11;t06;20210102;NA;Lubelskie
113;3;3;0;5;425;5032;582;124;450;8;t08;20210102;NA;Lubuskie
604;4;2;2;21;774;9983;2299;633;1613;53;t10;20210102;NA;Łódzkie
281;0;0;0;7;324;5540;1449;303;1093;53;t12;20210102;NA;Małopolskie
1046;15;4;11;65;1587;23612;3946;1141;2648;157;t14;20210102;NA;Mazowieckie
182;2;0;2;13;316;3213;638;193;430;15;t16;20210102;NA;Opolskie
217;2;0;2;6;265;3890;1110;245;859;6;t18;20210102;NA;Podkarpackie
173;11;1;10;10;286;3708;598;181;414;3;t20;20210102;NA;Podlaskie
787;0;0;0;26;1011;13966;2465;832;1534;99;t22;20210102;NA;Pomorskie
431;7;0;7;22;842;12076;1874;483;1348;43;t24;20210102;NA;Śląskie
98;0;0;0;1;138;2261;863;142;689;32;t26;20210102;NA;Świętokrzyskie
321;0;0;0;20;833;10656;915;343;562;10;t28;20210102;NA;Warmińsko-mazurskie
915;24;4;20;60;1518;16771;3063;1001;1982;80;t30;20210102;NA;Wielkopolskie
538;3;0;3;25;891;12886;1529;629;878;22;t32;20210102;NA;Zachodniopomorskie
5739;61;7;54;672;7831;143466;29618;6702;22279;637;t00;20210103;NA;cały kraj
246;0;0;0;16;457;8847;1844;268;1544;32;t02;20210103;NA;Dolnośląskie
673;9;0;9;158;704;13186;2283;794;1432;57;t04;20210103;NA;Kujawsko-pomorskie
207;2;2;0;46;335;6276;1098;249;835;14;t06;20210103;NA;Lubelskie
169;0;0;0;7;269;4579;773;226;527;20;t08;20210103;NA;Lubuskie
292;0;0;0;24;587;9139;1818;342;1418;58;t10;20210103;NA;Łódzkie
200;2;2;0;18;200;5406;1669;228;1407;34;t12;20210103;NA;Małopolskie
903;2;0;2;77;856;22001;3888;1054;2711;123;t14;20210103;NA;Mazowieckie
100;0;0;0;5;141;2949;676;117;545;14;t16;20210103;NA;Opolskie
118;6;0;6;6;166;3583;880;165;709;6;t18;20210103;NA;Podkarpackie
171;0;0;0;4;225;3488;657;187;462;8;t20;20210103;NA;Podlaskie
705;4;0;4;69;808;13031;2795;747;1973;75;t22;20210103;NA;Pomorskie
288;6;1;5;49;693;11407;1837;322;1490;25;t24;20210103;NA;Śląskie
77;0;0;0;8;86;2123;771;109;651;11;t26;20210103;NA;Świętokrzyskie
376;5;1;4;24;499;9787;1123;406;696;21;t28;20210103;NA;Warmińsko-mazurskie
495;21;1;20;102;861;15576;2964;658;2273;33;t30;20210103;NA;Wielkopolskie
518;4;0;4;59;801;12078;1730;603;1072;55;t32;20210103;NA;Zachodniopomorskie
4432;42;8;34;338;5310;135305;25436;5225;19574;637;t00;20210104;NA;cały kraj
115;0;0;0;9;299;8174;998;131;852;15;t02;20210104;NA;Dolnośląskie
484;2;0;2;70;483;12384;1584;567;986;31;t04;20210104;NA;Kujawsko-pomorskie
142;1;0;1;20;266;5966;1162;224;918;20;t06;20210104;NA;Lubelskie
96;1;0;1;2;149;4326;571;131;433;7;t08;20210104;NA;Lubuskie
287;0;0;0;23;324;8468;1635;337;1275;23;t10;20210104;NA;Łódzkie
194;0;0;0;3;150;5349;1699;221;1438;40;t12;20210104;NA;Małopolskie
746;1;0;1;33;810;21021;4118;852;3090;176;t14;20210104;NA;Mazowieckie
84;0;0;0;1;93;2756;454;96;348;10;t16;20210104;NA;Opolskie
116;2;0;2;4;110;3500;923;143;765;15;t18;20210104;NA;Podkarpackie
80;3;0;3;8;126;3320;388;89;291;8;t20;20210104;NA;Podlaskie
623;2;0;2;47;489;12192;2643;673;1892;78;t22;20210104;NA;Pomorskie
282;1;0;1;22;314;10753;2056;330;1676;50;t24;20210104;NA;Śląskie
59;1;0;1;2;98;1979;688;88;585;15;t26;20210104;NA;Świętokrzyskie
139;8;1;7;15;393;9187;727;157;560;10;t28;20210104;NA;Warmińsko-mazurskie
317;17;7;10;42;543;14629;1680;378;1263;39;t30;20210104;NA;Wielkopolskie
436;3;0;3;37;537;11283;1794;548;1195;51;t32;20210104;NA;Zachodniopomorskie
7624;341;85;256;33066;4939;156782;48466;8757;38880;829;t00;20210105;NA;cały kraj
481;25;13;12;1907;233;9822;3780;571;3153;56;t02;20210105;NA;Dolnośląskie
913;28;2;26;3080;492;14046;4050;1004;2980;66;t04;20210105;NA;Kujawsko-pomorskie
447;42;16;26;1530;199;6844;2449;511;1906;32;t06;20210105;NA;Lubelskie
93;13;13;0;929;120;4673;892;114;764;14;t08;20210105;NA;Lubuskie
487;21;8;13;2066;322;9793;3321;573;2672;76;t10;20210105;NA;Łódzkie
233;23;8;15;1261;178;6898;2436;281;2112;43;t12;20210105;NA;Małopolskie
824;27;5;22;4542;754;25118;5590;1008;4430;152;t14;20210105;NA;Mazowieckie
93;12;0;12;606;131;3191;1090;123;956;11;t16;20210105;NA;Opolskie
270;18;1;17;742;85;4007;2009;308;1684;17;t18;20210105;NA;Podkarpackie
189;7;0;7;1049;109;4124;1078;215;848;15;t20;20210105;NA;Podlaskie
534;39;7;32;2539;553;13866;3136;584;2446;106;t22;20210105;NA;Pomorskie
740;27;5;22;3072;391;12642;4971;838;4072;61;t24;20210105;NA;Śląskie
88;3;1;2;510;56;2335;1145;105;1015;25;t26;20210105;NA;Świętokrzyskie
601;30;3;27;2292;286;10150;2161;640;1501;20;t28;20210105;NA;Warmińsko-mazurskie
802;18;3;15;4090;497;16978;4035;891;3093;51;t30;20210105;NA;Wielkopolskie
569;8;0;8;2832;410;12273;2251;686;1518;47;t32;20210105;NA;Zachodniopomorskie
14151;553;144;409;19348;4044;165668;61758;15217;45266;1275;t00;20210106;NA;cały kraj
599;44;16;28;1080;185;10478;3751;655;3019;77;t02;20210106;NA;Dolnośląskie
1300;42;5;37;1874;414;14477;4745;1386;3279;80;t04;20210106;NA;Kujawsko-pomorskie
658;28;12;16;896;190;7132;2723;722;1965;36;t06;20210106;NA;Lubelskie
368;11;6;5;523;119;4773;1691;426;1221;44;t08;20210106;NA;Lubuskie
1058;125;50;75;1335;287;10697;4661;1136;3433;92;t10;20210106;NA;Łódzkie
625;23;15;8;776;133;7763;3608;671;2880;57;t12;20210106;NA;Małopolskie
1686;39;7;32;3021;513;27378;7619;1829;5574;216;t14;20210106;NA;Mazowieckie
222;15;1;14;340;85;3340;1167;241;910;16;t16;20210106;NA;Opolskie
654;24;0;24;452;83;4231;2910;729;2160;21;t18;20210106;NA;Podkarpackie
477;15;2;13;563;125;4333;1562;498;1033;31;t20;20210106;NA;Podlaskie
1148;31;6;25;1735;403;14780;4040;1203;2674;163;t22;20210106;NA;Pomorskie
1391;54;5;49;1716;356;13385;6374;1498;4769;107;t24;20210106;NA;Śląskie
218;12;0;12;267;65;2525;1554;255;1236;63;t26;20210106;NA;Świętokrzyskie
1082;15;2;13;1213;220;10083;2730;1110;1561;59;t28;20210106;NA;Warmińsko-mazurskie
1488;45;16;29;2125;411;17568;5366;1578;3680;108;t30;20210106;NA;Wielkopolskie
921;30;1;29;1418;321;12698;3126;986;2081;59;t32;20210106;NA;Zachodniopomorskie
12054;186;38;148;316;7864;158359;46757;12921;32753;1083;t00;20210107;NA;cały kraj
627;4;2;2;15;401;9922;3139;681;2422;36;t02;20210107;NA;Dolnośląskie
1078;18;4;14;53;634;13727;2957;1159;1713;85;t04;20210107;NA;Kujawsko-pomorskie
331;4;2;2;15;470;6779;1638;378;1243;17;t06;20210107;NA;Lubelskie
379;4;2;2;4;173;4669;1126;414;694;18;t08;20210107;NA;Lubuskie
627;29;1;28;19;636;10239;2988;677;2247;64;t10;20210107;NA;Łódzkie
453;2;2;0;7;266;7427;2360;486;1831;43;t12;20210107;NA;Małopolskie
1469;24;10;14;37;1082;26486;6506;1571;4680;255;t14;20210107;NA;Mazowieckie
326;5;0;5;2;118;3058;1112;344;744;24;t16;20210107;NA;Opolskie
570;7;0;7;6;157;4105;2664;661;1968;35;t18;20210107;NA;Podkarpackie
272;6;0;6;8;169;4158;838;291;540;7;t20;20210107;NA;Podlaskie
1003;10;3;7;35;527;14234;3622;1060;2457;105;t22;20210107;NA;Pomorskie
855;15;2;13;20;749;12805;3897;911;2908;78;t24;20210107;NA;Śląskie
181;3;0;3;0;148;2407;1049;205;808;36;t26;20210107;NA;Świętokrzyskie
709;10;2;8;29;671;10063;1747;725;993;29;t28;20210107;NA;Warmińsko-mazurskie
1609;27;8;19;35;797;16403;4909;1677;3120;112;t30;20210107;NA;Wielkopolskie
1324;18;0;18;30;703;11857;3323;1415;1819;89;t32;20210107;NA;Zachodniopomorskie
8790;332;60;272;22077;12785;168479;50177;10179;38942;1056;t00;20210108;NA;cały kraj
461;13;6;7;1225;668;10564;3276;509;2720;47;t02;20210108;NA;Dolnośląskie
1034;39;5;34;2039;1093;14435;4469;1210;3128;131;t04;20210108;NA;Kujawsko-pomorskie
403;30;7;23;1073;579;7154;2280;480;1772;28;t06;20210108;NA;Lubelskie
233;11;6;5;606;436;5050;1416;299;1097;20;t08;20210108;NA;Lubuskie
546;50;4;46;1444;838;10556;3357;657;2626;74;t10;20210108;NA;Łódzkie
352;10;3;7;862;498;7875;2772;399;2314;59;t12;20210108;NA;Małopolskie
1216;29;7;22;3208;1652;28163;6853;1407;5181;265;t14;20210108;NA;Mazowieckie
96;9;2;7;427;239;3418;827;120;700;7;t16;20210108;NA;Opolskie
490;8;1;7;518;265;4509;2338;539;1785;14;t18;20210108;NA;Podkarpackie
293;6;2;4;616;389;4555;1229;314;892;23;t20;20210108;NA;Podlaskie
987;28;8;20;1793;1055;14759;4229;1052;3041;136;t22;20210108;NA;Pomorskie
548;25;1;24;2028;1270;13437;4186;614;3525;47;t24;20210108;NA;Śląskie
89;3;0;3;325;182;2574;1066;133;908;25;t26;20210108;NA;Świętokrzyskie
486;26;3;23;1523;1039;10499;2067;518;1535;14;t28;20210108;NA;Warmińsko-mazurskie
774;30;5;25;2626;1462;18029;4259;958;3241;60;t30;20210108;NA;Wielkopolskie
554;15;0;15;1754;949;12879;2138;710;1377;51;t32;20210108;NA;Zachodniopomorskie
10548;438;100;338;16429;13071;168496;58371;11952;45261;1158;t00;20210109;NA;cały kraj
514;22;14;8;952;773;10577;3471;565;2846;60;t02;20210109;NA;Dolnośląskie
886;59;5;54;1526;1426;14241;4241;1037;3129;75;t04;20210109;NA;Kujawsko-pomorskie
512;32;10;22;791;562;7054;2451;578;1832;41;t06;20210109;NA;Lubelskie
293;7;4;3;461;398;5060;1678;384;1273;21;t08;20210109;NA;Lubuskie
702;29;1;28;1087;754;10611;4098;788;3197;113;t10;20210109;NA;Łódzkie
418;13;9;4;662;353;7765;3335;454;2814;67;t12;20210109;NA;Małopolskie
1333;44;14;30;2626;1675;28601;7310;1458;5647;205;t14;20210109;NA;Mazowieckie
195;8;0;8;302;332;3342;1280;219;1048;13;t16;20210109;NA;Opolskie
291;11;2;9;367;295;4498;2498;342;2136;20;t18;20210109;NA;Podkarpackie
298;17;0;17;430;369;4613;1435;335;1080;20;t20;20210109;NA;Podlaskie
977;27;5;22;1539;1334;15130;4597;1021;3426;150;t22;20210109;NA;Pomorskie
836;38;7;31;1338;1057;13229;4890;888;3926;76;t24;20210109;NA;Śląskie
154;13;1;12;225;219;2531;1562;192;1335;35;t26;20210109;NA;Świętokrzyskie
928;27;8;19;1022;957;10234;2630;976;1607;47;t28;20210109;NA;Warmińsko-mazurskie
1151;54;19;35;1755;1411;18128;5235;1365;3788;82;t30;20210109;NA;Wielkopolskie
843;37;1;36;1334;1005;12852;3304;1098;2109;97;t32;20210109;NA;Zachodniopomorskie
9410;177;41;136;415;9657;156834;43731;10059;32741;931;t00;20210110;NA;cały kraj
459;4;1;3;24;494;9806;2162;490;1648;24;t02;20210110;NA;Dolnośląskie
923;17;5;12;90;948;12926;3001;992;1917;92;t04;20210110;NA;Kujawsko-pomorskie
381;16;7;9;29;316;6551;1828;438;1372;18;t06;20210110;NA;Lubelskie
261;6;3;3;8;328;4682;1265;279;978;8;t08;20210110;NA;Lubuskie
573;7;4;3;15;599;9702;2736;607;2054;75;t10;20210110;NA;Łódzkie
260;2;1;1;19;361;7474;2307;269;1990;48;t12;20210110;NA;Małopolskie
1305;40;7;33;44;1312;27284;6267;1394;4710;163;t14;20210110;NA;Mazowieckie
181;0;0;0;4;161;3149;947;189;746;12;t16;20210110;NA;Opolskie
214;7;0;7;10;221;4157;1593;235;1338;20;t18;20210110;NA;Podkarpackie
239;8;0;8;11;290;4318;866;256;607;3;t20;20210110;NA;Podlaskie
1010;24;3;21;13;894;14267;4140;1067;2947;126;t22;20210110;NA;Pomorskie
676;9;1;8;40;744;12306;3246;712;2479;55;t24;20210110;NA;Śląskie
151;1;0;1;4;176;2328;1072;169;865;38;t26;20210110;NA;Świętokrzyskie
515;0;0;0;14;774;9568;1384;541;816;27;t28;20210110;NA;Warmińsko-mazurskie
1106;23;8;15;57;1120;16444;4009;1184;2739;86;t30;20210110;NA;Wielkopolskie
936;13;1;12;33;819;11850;2649;989;1581;79;t32;20210110;NA;Zachodniopomorskie
4622;75;10;65;272;6945;150116;26151;5374;20125;652;t00;20210111;NA;cały kraj
227;0;0;0;16;436;9372;1341;247;1070;24;t02;20210111;NA;Dolnośląskie
388;6;2;4;46;478;12276;1701;494;1172;35;t04;20210111;NA;Kujawsko-pomorskie
138;5;2;3;16;319;6272;971;176;773;22;t06;20210111;NA;Lubelskie
190;5;2;3;11;124;4409;824;227;580;17;t08;20210111;NA;Lubuskie
218;2;0;2;19;558;9103;1587;266;1275;46;t10;20210111;NA;Łódzkie
233;1;0;1;5;283;7338;1695;268;1387;40;t12;20210111;NA;Małopolskie
627;9;0;9;47;974;26583;3407;696;2609;102;t14;20210111;NA;Mazowieckie
127;1;0;1;1;175;3008;662;139;509;14;t16;20210111;NA;Opolskie
159;3;0;3;6;184;4049;1305;205;1081;19;t18;20210111;NA;Podkarpackie
75;0;0;0;1;174;4071;442;88;349;5;t20;20210111;NA;Podlaskie
509;22;2;20;15;792;13494;2401;561;1772;68;t22;20210111;NA;Pomorskie
233;3;0;3;14;481;11748;1877;262;1571;44;t24;20210111;NA;Śląskie
97;0;0;0;1;108;2218;746;108;620;18;t26;20210111;NA;Świętokrzyskie
210;3;0;3;5;320;9237;872;230;625;17;t28;20210111;NA;Warmińsko-mazurskie
446;10;2;8;50;942;15654;2148;548;1526;74;t30;20210111;NA;Wielkopolskie
570;5;0;5;19;530;11267;1954;660;1208;86;t32;20210111;NA;Zachodniopomorskie
5569;326;93;233;22317;6991;170761;50150;6835;42439;876;t00;20210112;NA;cały kraj
339;33;22;11;1383;300;11051;3562;403;3086;73;t02;20210112;NA;Dolnośląskie
526;25;0;25;2044;808;13912;3642;619;2963;60;t04;20210112;NA;Kujawsko-pomorskie
344;24;4;20;1089;294;7113;2834;389;2413;32;t06;20210112;NA;Lubelskie
89;5;4;1;651;218;4971;1365;135;1215;15;t08;20210112;NA;Lubuskie
285;28;11;17;1345;393;10510;3660;362;3218;80;t10;20210112;NA;Łódzkie
236;26;10;16;864;237;8466;3021;292;2695;34;t12;20210112;NA;Małopolskie
695;26;8;18;3058;1155;30540;6480;904;5371;205;t14;20210112;NA;Mazowieckie
116;8;3;5;452;147;3501;1005;147;841;17;t16;20210112;NA;Opolskie
108;24;4;20;537;141;4424;1777;137;1636;4;t18;20210112;NA;Podkarpackie
143;2;0;2;718;187;4793;1385;164;1215;6;t20;20210112;NA;Podlaskie
583;25;7;18;1866;836;15181;3130;682;2356;92;t22;20210112;NA;Pomorskie
522;41;5;36;2042;413;13579;5290;609;4635;46;t24;20210112;NA;Śląskie
108;11;1;10;349;85;2476;1389;144;1214;31;t26;20210112;NA;Świętokrzyskie
483;23;6;17;1455;469;9997;3075;522;2520;33;t28;20210112;NA;Warmińsko-mazurskie
483;16;7;9;2662;538;17882;4217;602;3547;68;t30;20210112;NA;Wielkopolskie
400;9;1;8;1792;672;12345;2601;578;1966;57;t32;20210112;NA;Zachodniopomorskie
9053;481;117;364;13735;4907;184488;73911;10008;62669;1234;t00;20210113;NA;cały kraj
452;26;9;17;786;205;12267;5115;505;4557;53;t02;20210113;NA;Dolnośląskie
910;44;5;39;1338;597;14623;4753;972;3659;122;t04;20210113;NA;Kujawsko-pomorskie
493;21;6;15;705;173;7704;3954;537;3375;42;t06;20210113;NA;Lubelskie
243;13;9;4;392;79;5422;2094;293;1780;21;t08;20210113;NA;Lubuskie
567;43;7;36;835;326;11652;5173;628;4459;86;t10;20210113;NA;Łódzkie
383;35;18;17;564;179;9385;4693;418;4224;51;t12;20210113;NA;Małopolskie
1069;50;15;35;1971;707;33493;9772;1216;8316;240;t14;20210113;NA;Mazowieckie
172;3;1;2;255;69;3975;1382;189;1162;31;t16;20210113;NA;Opolskie
235;13;2;11;330;116;4825;3436;281;3117;38;t18;20210113;NA;Podkarpackie
333;26;1;25;459;116;5268;2391;350;2027;14;t20;20210113;NA;Podlaskie
729;32;3;29;1224;604;16125;4826;789;3898;139;t22;20210113;NA;Pomorskie
818;37;3;34;1286;397;14743;7431;891;6453;87;t24;20210113;NA;Śląskie
131;12;1;11;225;81;2718;2566;170;2357;39;t26;20210113;NA;Świętokrzyskie
626;19;2;17;819;222;10399;3464;673;2747;44;t28;20210113;NA;Warmińsko-mazurskie
1014;65;30;35;1504;457;18963;5829;1089;4632;108;t30;20210113;NA;Wielkopolskie
700;42;5;37;1040;500;12908;4066;795;3184;87;t32;20210113;NA;Zachodniopomorskie
9436;381;92;289;12351;8476;190307;79406;10239;67816;1351;t00;20210114;NA;cały kraj
463;16;7;9;730;440;12553;4922;518;4344;60;t02;20210114;NA;Dolnośląskie
993;44;9;35;1135;850;14944;4946;1055;3768;123;t04;20210114;NA;Kujawsko-pomorskie
403;38;10;28;577;507;7932;3749;441;3253;55;t06;20210114;NA;Lubelskie
288;8;5;3;345;144;5670;2065;319;1735;11;t08;20210114;NA;Lubuskie
554;35;8;27;727;752;12074;5533;601;4848;84;t10;20210114;NA;Łódzkie
337;12;3;9;546;315;9501;4429;358;3997;74;t12;20210114;NA;Małopolskie
1231;41;9;32;1895;1087;34737;12754;1363;11091;300;t14;20210114;NA;Mazowieckie
235;3;1;2;252;156;4177;1738;252;1451;35;t16;20210114;NA;Opolskie
233;17;4;13;310;219;5040;3232;253;2944;35;t18;20210114;NA;Podkarpackie
291;6;0;6;405;186;5395;2088;317;1745;26;t20;20210114;NA;Podlaskie
878;16;1;15;1095;669;16750;6242;943;5168;131;t22;20210114;NA;Pomorskie
727;19;0;19;1075;764;14973;8079;784;7218;77;t24;20210114;NA;Śląskie
164;4;1;3;186;125;2786;2608;199;2331;78;t26;20210114;NA;Świętokrzyskie
690;29;4;25;745;640;10657;4036;733;3250;53;t28;20210114;NA;Warmińsko-mazurskie
1058;65;29;36;1338;901;19651;6753;1134;5502;117;t30;20210114;NA;Wielkopolskie
788;28;1;27;985;604;13440;4356;849;3435;72;t32;20210114;NA;Zachodniopomorskie
7795;386;88;298;11617;13158;190259;73122;8751;63268;1103;t00;20210115;NA;cały kraj
477;19;9;10;667;562;12472;5290;523;4719;48;t02;20210115;NA;Dolnośląskie
712;24;2;22;1093;1237;15006;4597;823;3698;76;t04;20210115;NA;Kujawsko-pomorskie
355;25;8;17;591;676;7920;3395;399;2932;64;t06;20210115;NA;Lubelskie
218;26;9;17;323;315;5691;1802;273;1513;16;t08;20210115;NA;Lubuskie
495;37;8;29;724;814;11883;4857;535;4261;61;t10;20210115;NA;Łódzkie
321;16;6;10;459;518;9112;4310;343;3908;59;t12;20210115;NA;Małopolskie
946;56;21;35;1904;1816;34638;11188;1072;9886;230;t14;20210115;NA;Mazowieckie
214;6;0;6;213;204;4345;1874;243;1592;39;t16;20210115;NA;Opolskie
232;17;1;16;282;305;5151;3332;272;3025;35;t18;20210115;NA;Podkarpackie
277;7;1;6;331;479;5499;1836;291;1540;5;t20;20210115;NA;Podlaskie
740;17;0;17;1060;1113;16921;5658;809;4738;111;t22;20210115;NA;Pomorskie
601;42;3;39;1025;1272;14763;7184;660;6444;80;t24;20210115;NA;Śląskie
127;9;1;8;177;244;2770;2047;154;1833;60;t26;20210115;NA;Świętokrzyskie
420;21;2;19;667;1100;10826;3073;451;2585;37;t28;20210115;NA;Warmińsko-mazurskie
768;38;15;23;1231;1372;19794;5743;836;4835;72;t30;20210115;NA;Wielkopolskie
749;26;2;24;862;1011;13442;4153;893;3178;82;t32;20210115;NA;Zachodniopomorskie
7412;369;69;300;11188;11819;187925;69348;8468;59651;1229;t00;20210116;NA;cały kraj
378;9;3;6;674;752;12439;5196;419;4687;90;t02;20210116;NA;Dolnośląskie
653;33;4;29;1022;1086;14731;4011;770;3175;66;t04;20210116;NA;Kujawsko-pomorskie
358;27;3;24;512;362;7991;3301;409;2851;41;t06;20210116;NA;Lubelskie
178;24;16;8;315;453;5499;2114;247;1851;16;t08;20210116;NA;Lubuskie
416;34;5;29;666;627;11586;4388;452;3850;86;t10;20210116;NA;Łódzkie
293;14;5;9;498;412;8811;4255;316;3885;54;t12;20210116;NA;Małopolskie
1040;43;7;36;1859;1532;34781;11484;1217;9953;314;t14;20210116;NA;Mazowieckie
222;3;0;3;212;324;4363;1506;241;1234;31;t16;20210116;NA;Opolskie
194;15;0;15;251;284;5245;2656;213;2418;25;t18;20210116;NA;Podkarpackie
210;4;0;4;334;312;5437;1563;230;1326;7;t20;20210116;NA;Podlaskie
741;24;4;20;955;1244;16905;5190;803;4217;170;t22;20210116;NA;Pomorskie
608;33;2;31;994;797;14297;7365;673;6611;81;t24;20210116;NA;Śląskie
120;2;0;2;193;148;2725;2398;149;2213;36;t26;20210116;NA;Świętokrzyskie
547;28;5;23;669;647;10638;2970;576;2366;28;t28;20210116;NA;Warmińsko-mazurskie
696;45;15;30;1166;1539;19207;5779;778;4911;90;t30;20210116;NA;Wielkopolskie
629;31;0;31;865;1221;13242;3184;818;2288;78;t32;20210116;NA;Zachodniopomorskie
6055;142;37;105;296;7705;178093;55247;6820;47560;867;t00;20210117;NA;cały kraj
302;1;0;1;13;331;11942;3444;324;3079;41;t02;20210117;NA;Dolnośląskie
658;16;1;15;49;919;13378;3338;719;2548;71;t04;20210117;NA;Kujawsko-pomorskie
318;10;2;8;18;431;7531;2614;344;2217;53;t06;20210117;NA;Lubelskie
247;5;3;2;5;197;5107;1724;301;1408;15;t08;20210117;NA;Lubuskie
351;5;1;4;25;551;11040;2750;376;2328;46;t10;20210117;NA;Łódzkie
225;7;7;0;9;314;8758;2955;259;2656;40;t12;20210117;NA;Małopolskie
816;13;3;10;36;1060;33706;8852;907;7766;179;t14;20210117;NA;Mazowieckie
99;1;0;1;5;73;4171;1515;113;1375;27;t16;20210117;NA;Opolskie
177;12;4;8;4;178;4953;2008;210;1780;18;t18;20210117;NA;Podkarpackie
121;2;0;2;3;242;5019;776;136;636;4;t20;20210117;NA;Podlaskie
603;1;0;1;31;746;15889;4613;641;3879;93;t22;20210117;NA;Pomorskie
408;6;1;5;34;548;13556;4991;454;4478;59;t24;20210117;NA;Śląskie
125;1;0;1;2;106;2545;1625;148;1442;35;t26;20210117;NA;Świętokrzyskie
287;2;0;2;5;541;9956;1710;329;1354;27;t28;20210117;NA;Warmińsko-mazurskie
828;40;14;26;41;748;17873;5632;903;4664;65;t30;20210117;NA;Wielkopolskie
324;20;1;19;16;623;12649;2990;477;2451;62;t32;20210117;NA;Zachodniopomorskie
3271;52;11;41;217;10769;173976;25174;3676;21019;479;t00;20210118;NA;cały kraj
156;0;0;0;21;570;11609;1593;174;1389;30;t02;20210118;NA;Dolnośląskie
201;3;0;3;51;898;12893;1144;219;900;25;t04;20210118;NA;Kujawsko-pomorskie
86;9;6;3;24;482;7363;787;117;658;12;t06;20210118;NA;Lubelskie
99;0;0;0;9;319;5035;719;110;596;13;t08;20210118;NA;Lubuskie
98;2;0;2;6;720;10807;1097;123;949;25;t10;20210118;NA;Łódzkie
306;0;0;0;4;416;8796;1584;322;1219;43;t12;20210118;NA;Małopolskie
475;11;0;11;26;1403;33462;5514;532;4895;87;t14;20210118;NA;Mazowieckie
125;0;0;0;5;250;4123;1014;136;867;11;t16;20210118;NA;Opolskie
83;4;2;2;2;252;5001;683;95;571;17;t18;20210118;NA;Podkarpackie
69;0;0;0;2;328;4829;398;85;308;5;t20;20210118;NA;Podlaskie
468;1;0;1;23;966;15431;2845;508;2267;70;t22;20210118;NA;Pomorskie
311;4;1;3;5;865;13161;2195;363;1789;43;t24;20210118;NA;Śląskie
73;0;0;0;1;187;2382;853;88;745;20;t26;20210118;NA;Świętokrzyskie
108;0;0;0;6;849;9450;746;123;615;8;t28;20210118;NA;Warmińsko-mazurskie
224;17;2;15;25;1240;17419;1488;250;1213;25;t30;20210118;NA;Wielkopolskie
292;1;0;1;7;919;12197;1449;318;1100;31;t32;20210118;NA;Zachodniopomorskie
4835;291;60;231;17080;9777;185122;48409;5893;41802;714;t00;20210119;NA;cały kraj
311;10;8;2;1031;542;12522;4774;374;4332;68;t02;20210119;NA;Dolnośląskie
438;25;1;24;1492;976;13696;3264;543;2671;50;t04;20210119;NA;Kujawsko-pomorskie
266;38;12;26;844;402;7991;3036;310;2699;27;t06;20210119;NA;Lubelskie
85;9;6;3;522;240;5304;1303;162;1123;18;t08;20210119;NA;Lubuskie
275;28;4;24;957;599;11513;2923;325;2535;63;t10;20210119;NA;Łódzkie
234;19;8;11;731;288;9318;2482;263;2186;33;t12;20210119;NA;Małopolskie
683;20;1;19;2462;1352;35940;6417;870;5391;156;t14;20210119;NA;Mazowieckie
